pattern_label,company_count,percentage
Reinvestor,56,60.87
Mixed,13,14.13
Growth Funded by Debt,12,13.04
Liquidating Assets,7,7.61
Unknown,2,2.17
Distress Signal,1,1.09
Pre-Revenue,1,1.09
